level,tweet_metric,prevalence_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
state,pa_per100k,leisure_prev,51,-0.20717586522482478,0.14463890949350067,0.025791855203619908,0.8574240571581719
state,smoking_per100k,smoking_prev,51,-0.1504481334365578,0.2919785969415556,0.11701357466063347,0.41350443626174305
state,alcohol_per100k,binge_prev,51,0.2694620185673938,0.05585411987916548,0.1427149321266968,0.31777179348455326
state,sleep_per100k,sleep_prev,51,0.06263389855961006,0.662375586367228,0.2986425339366516,0.0332787598177976
state,diet_per100k,diet_prevalence,51,-0.18092645614443126,0.20388621333636084,0.043710407239819005,0.7607000296407231
