level,tweet_metric,prevalence_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
county,pa_per100k,leisure_prev,3132,-0.17025364092339712,8.437086035451756e-22,-0.2058983475258054,2.4816720436936585e-31
county,smoking_per100k,smoking_prev,3132,-0.09057867067102778,3.8226022852995767e-07,-0.1908557808247705,4.467076588667616e-27
county,alcohol_per100k,binge_prev,3132,0.11221698401022112,3.024167152326256e-10,0.1446697544219541,4.087547436895601e-16
county,sleep_per100k,sleep_prev,3132,0.0631157884427739,0.00040878966674187103,0.13447020733369724,4.128917120335251e-14
county,diet_per100k,diet_prevalence,3102,0.016357424421137797,0.3624374792446887,0.16393829985989378,3.957863131421877e-20
