outcome,predictor,coef,p_value,n_counties,n_acps
leisure_prev,pa_rate,-5.591372376542939,4.914448168814365e-08,3132,15
smoking_prev,smoking_rate,3.3792290737710866,0.34516029402255377,3132,15
binge_prev,alcohol_rate,1.960959234340086,0.006090285607280036,3132,15
sleep_prev,sleep_rate,9.716693967755216,4.6067629426644065e-14,3132,15
diet_prevalence,diet_rate,-0.17901492757150575,0.07053842625084752,3102,15
