level,tweet_metric,prevalence_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
state,pa_rate,leisure_prev,51,-0.43943247922415635,0.0012543882678490187,-0.40923076923076923,0.0028654320106686467
state,smoking_rate,smoking_prev,51,0.28920306571591214,0.039558083989035465,0.3485067873303167,0.012201741872530576
state,alcohol_rate,binge_prev,51,0.3589895363184849,0.009681394850639074,0.27855203619909497,0.04778105701575284
state,sleep_rate,sleep_prev,51,0.5711395788435537,1.2043336510155307e-05,0.6543891402714932,1.9057751875529631e-07
state,diet_rate,diet_prevalence,51,0.039763135192570756,0.7817530061695578,0.08063348416289592,0.5737892005524718
